,mid_time,max2d_time,time_threshold,slope,peak
35mm_ROI10_1,2.1,1.7000000000000002,1.4000000000000001,1.1663674291345258,0.1277005949337633
35mm_ROI10_2,2.15,1.7000000000000002,2.0,1.3709025062555589,0.04954455997466096
35mm_ROI10_3,2.15,1.85,2.3000000000000003,1.3773698189757364,0.03446491560580005
35mm_ROI10_4,2.15,1.7000000000000002,2.0,1.3135388675728719,0.047524911332311175
35mm_ROI12 repre_0,2.85,2.4000000000000004,2.5,1.233749127539285,0.19097812521301147
35mm_ROI12 repre_1,2.7,2.35,2.5500000000000003,1.0355491814733346,0.1097957403369213
35mm_ROI12 repre_2,2.9000000000000004,2.45,2.3000000000000003,1.1056011138115969,0.36843559217182903
35mm_ROI12 repre_3,2.9000000000000004,2.45,2.35,1.1990044733223264,0.2818861790382299
35mm_ROI12 repre_4,2.75,2.35,2.4000000000000004,1.2719363350083326,0.2659881389827901
35mm_ROI12 repre_5,2.8000000000000003,2.45,2.45,1.3346844353292004,0.0568607293016323
35mm_ROI12 repre_6,2.75,2.4000000000000004,2.45,1.2773441898882483,0.2429277779521339
35mm_ROI13_0,2.5500000000000003,2.1,1.9500000000000002,1.2538126346075962,0.18909453162813808
35mm_ROI13_1,2.5500000000000003,2.1,2.2,1.4695588523835699,0.10922745037482552
35mm_ROI13_2,2.6,2.3000000000000003,2.2,1.5087141942399043,0.11238828198802386
35mm_ROI13_3,2.6,2.25,2.35,1.545214543499702,0.06736198109033381
35mm_ROI13_4,2.4000000000000004,2.15,2.35,1.1044202697558838,0.12457912896481574
35mm_ROI13_5,2.5,2.1,2.2,1.2478146099640384,0.07164109177878836
35mm_ROI13_6,2.6,2.25,2.5,1.464104754994298,0.08833523718269279
35mm_ROI13_7,2.75,2.3000000000000003,2.5500000000000003,1.9510990986730048,0.03057716965670846
35mm_ROI13_8,2.5,2.15,2.15,1.3878675550262527,0.10853062673956863
35mm_ROI13_9,2.6,2.1,2.3000000000000003,1.4902210872690733,0.1015271065911164
35mm_ROI13_10,2.5,2.15,2.15,1.3878675550262527,0.10853062673956863
35mm_ROI13_11,2.6,2.1,2.3000000000000003,1.4902210872690733,0.1015271065911164
35mm_ROI13_12,2.6,2.25,2.1,1.285443388183213,0.4524954703289522
35mm_ROI13_13,2.5500000000000003,2.15,2.4000000000000004,1.7651914087825522,0.07846502527683806
35mm_ROI13_14,2.75,2.3000000000000003,2.45,1.0629144430283854,0.13668603104613167
35mm_ROI14_0,3.4000000000000004,3.1,2.95,1.320127986183428,0.04864060759461891
35mm_ROI14_1,3.3000000000000003,3.0500000000000003,2.75,1.121819815499133,0.18429745192784525
35mm_ROI14_2,3.35,2.85,3.45,1.0254176542062923,0.07847276692201524
35mm_ROI14_3,3.4000000000000004,2.95,,0.8794350159404053,0.04490156907153199
35mm_ROI14_4,3.45,3.0500000000000003,3.0500000000000003,1.0375340526316261,0.155640655428522
35mm_ROI14_5,3.35,2.95,3.0,1.2284501112763682,0.2623420495086961
35mm_ROI14_6,3.4000000000000004,2.9000000000000004,2.95,1.1071058580779147,0.06900160354726807
35mm_ROI14_7,3.35,2.85,3.25,1.1589710201287267,0.07208773284836034
35mm_ROI14_8,3.3000000000000003,2.85,3.0,1.3404790142556016,0.07852757903433219
35mm_ROI14_9,3.45,2.95,3.0,0.9511342255212248,0.05579997951121901
35mm_ROI14_10,3.45,3.0,3.1500000000000004,1.0282456701582146,0.17945569756968222
35mm_ROI7-3_0,2.8000000000000003,2.45,2.35,1.4564453504545187,0.22174312906626792
35mm_ROI7-3_1,2.75,2.45,2.3000000000000003,1.4217849411040413,0.1937523863420058
35mm_ROI18-1-1_0,2.2,1.85,1.8,1.233245905993949,0.3066052020776743
35mm_ROI18-1-1_1,2.2,2.0,1.8,1.2091204191345406,0.1366069938064609
35mm_ROI18-1-1_2,2.25,1.85,1.85,1.3456917945470153,0.08760032177591119
35mm_ROI18-1-1_3,2.25,2.0,2.15,1.045316550154765,0.1408388121410615
35mm_ROI18-1-1_4,2.4000000000000004,1.9500000000000002,1.9500000000000002,0.971939701649521,0.12089597757327883
35mm_ROI18-1-1_5,2.2,1.9500000000000002,2.2,1.0891708743701,0.10870723383416299
35mm_ROI18-1-1_6,2.4000000000000004,2.1,2.0500000000000003,1.1506818526277967,0.20835961258652735
35mm_ROI18-1-1_7,2.2,1.9000000000000001,2.15,1.1495454554204747,0.14758645650235772
35mm_ROI18-1-1_8,2.3000000000000003,2.0,2.0,1.1518615939754488,0.17964764219089782
35mm_ROI18-1-1_9,2.0,2.0,1.0,0.8099315319765891,0.040450798087774895
35mm_ROI18-1-1_10,2.35,2.0,1.0,1.069371930726142,0.040780330884993866
35mm_ROI18-1-1_11,2.15,1.6500000000000001,1.7000000000000002,1.1474334063548002,0.10676840026276624
35mm_ROI18-1-1_12,2.15,1.75,1.7000000000000002,1.3007308538552256,0.08053895702785355
